,location,date,variant,num_sequences,perc_sequences,num_sequences_total
0,Angola,2020-07-06,Alpha,0,0.0,3
1,Angola,2020-07-06,Beta,0,0.0,3
2,Angola,2020-07-06,Delta,0,0.0,3
3,Angola,2020-07-06,Mu,0,0.0,3
4,Angola,2020-07-06,Omicron,0,0.0,3
5,Angola,2020-08-31,Alpha,0,0.0,1
6,Angola,2020-08-31,Beta,1,100.0,1
7,Angola,2020-08-31,Delta,0,0.0,1
8,Angola,2020-08-31,Mu,0,0.0,1
9,Angola,2020-08-31,Omicron,0,0.0,1
10,Angola,2020-09-28,Alpha,0,0.0,10
11,Angola,2020-09-28,Beta,9,90.0,10
12,Angola,2020-09-28,Delta,0,0.0,10
13,Angola,2020-09-28,Mu,0,0.0,10
14,Angola,2020-09-28,Omicron,0,0.0,10
15,Angola,2020-10-12,Alpha,0,0.0,29
16,Angola,2020-10-12,Beta,24,82.76,29
17,Angola,2020-10-12,Delta,0,0.0,29
18,Angola,2020-10-12,Mu,0,0.0,29
19,Angola,2020-10-12,Omicron,0,0.0,29
20,Angola,2020-10-26,Alpha,0,0.0,7
21,Angola,2020-10-26,Beta,7,100.0,7
22,Angola,2020-10-26,Delta,0,0.0,7
23,Angola,2020-10-26,Mu,0,0.0,7
24,Angola,2020-10-26,Omicron,0,0.0,7
25,Angola,2020-12-07,Alpha,0,0.0,6
26,Angola,2020-12-07,Beta,6,100.0,6
27,Angola,2020-12-07,Delta,0,0.0,6
28,Angola,2020-12-07,Mu,0,0.0,6
29,Angola,2020-12-07,Omicron,0,0.0,6
30,Angola,2020-12-21,Alpha,0,0.0,93
31,Angola,2020-12-21,Beta,69,74.19,93
32,Angola,2020-12-21,Delta,0,0.0,93
33,Angola,2020-12-21,Mu,0,0.0,93
34,Angola,2020-12-21,Omicron,0,0.0,93
35,Angola,2021-01-04,Alpha,0,0.0,5
36,Angola,2021-01-04,Beta,0,0.0,5
37,Angola,2021-01-04,Delta,0,0.0,5
38,Angola,2021-01-04,Mu,0,0.0,5
